"","Chemical, chemical products","Containers","Furniture, fixtures","Machinery","Parts and materials","Person, injured or ill worker","Person, other than injured or ill workers","Worker motion or position","Floors, walkways, ground surfaces","Ladder","Handtools","Trucks","Cart, dolly, hand truck-nonpowered","Vehicles","all other","value"
"54",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"55",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"56",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"57",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"58",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"59",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"60",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"61",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"62",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"63",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127
"64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"65",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"66",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"67",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"68",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"69",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"70",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"71",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"72",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"73",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"74",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"75",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"76",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"77",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
"78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"79",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"80",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"81",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"82",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"85",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"88",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"89",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"90",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"91",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"93",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"94",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"95",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"96",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"97",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"98",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"99",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"100",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"101",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91
"102",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"103",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"104",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"105",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"106",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"107",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"108",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"109",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"110",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"111",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"112",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"113",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"114",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"115",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"116",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"117",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"118",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"119",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"120",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"121",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"122",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"123",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"124",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"125",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"126",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"127",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"128",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"129",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"130",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"131",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"132",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"133",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"134",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"135",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"136",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"137",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"138",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"139",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"140",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"141",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"142",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"143",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"144",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"145",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"146",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"147",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"148",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"149",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"150",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"151",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"152",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"153",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"154",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"155",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"156",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"157",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"158",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"159",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"160",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"161",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"162",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"163",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"164",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"165",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"166",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"167",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"168",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"169",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"170",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"171",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"172",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"173",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"174",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"175",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"176",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"177",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"178",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"179",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"180",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"181",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"182",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"183",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"184",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"185",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"186",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"187",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"188",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"189",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"190",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"191",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"192",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"193",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"194",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"195",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"196",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"197",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"198",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"199",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"200",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"201",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"202",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"203",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"204",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"205",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"206",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"207",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"208",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"209",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"210",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"211",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"212",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"213",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"214",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"215",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"216",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"217",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"218",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"219",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"220",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"221",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"222",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"223",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"224",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"225",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"226",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"227",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"228",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"229",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"230",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"231",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"232",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"233",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"234",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"235",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"236",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"237",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"238",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"239",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"240",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"241",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"242",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"243",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"244",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"245",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"246",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"247",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"248",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105
"249",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"250",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"251",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"252",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"253",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"254",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"255",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"256",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,104
"257",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38
"258",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"259",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"260",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"261",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"262",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"263",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"264",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"265",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"266",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150
"267",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"268",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"269",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"270",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"271",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"272",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"273",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"274",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"275",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"276",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"277",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"278",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"279",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"280",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"281",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"282",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"283",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"284",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"285",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"286",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"287",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"288",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"289",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"290",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"291",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"292",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"293",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"294",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"295",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"296",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"297",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"298",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"299",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"300",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"301",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"302",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"303",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"304",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"305",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"306",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"307",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"308",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"309",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"310",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"311",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"312",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"313",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"314",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"315",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"316",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"317",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"318",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"319",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"320",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"321",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"322",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"323",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"324",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"325",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"326",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"327",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"328",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,52
"329",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"330",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"331",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"332",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"333",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"334",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"335",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"336",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"337",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"338",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"339",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"340",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"341",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"342",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"343",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"344",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"345",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33
"346",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"347",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"348",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"349",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"350",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"351",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"352",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"353",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"354",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"355",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"356",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"357",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"358",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"359",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"360",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"361",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"362",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"363",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"364",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"365",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"366",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"367",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"368",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"369",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"370",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32
"371",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"372",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"373",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"374",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"375",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"376",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"377",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"378",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"379",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"380",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"381",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"382",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"383",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"384",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"385",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"386",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"387",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"388",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"389",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"390",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"391",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"392",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
